#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 16:04:16.854
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.95 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -500 mV
#Channel 2: Range: 500 mV/div Offset: -500 mV
#Math 1: Function: (C1-C2)/301

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.0049825,-0.0250765,-0.000600936,-8.13142e-05
-0.00498125,-0.0247453,7.00975e-05,-8.24432e-05
-0.00498,-0.0247453,-0.000600936,-8.02139e-05
-0.00497875,0.00870517,0.000405614,2.75733e-05
-0.0049775,0.0236088,7.00975e-05,7.82018e-05
-0.00497625,0.0232777,0.000405614,7.59868e-05
-0.004975,0.0226153,-0.000265419,7.60156e-05
-0.00497375,0.0226153,-0.000265419,7.60156e-05
-0.0049725,0.0229465,-0.000265419,7.71159e-05
-0.00497125,0.0232777,-0.000265419,7.82162e-05
-0.00497,0.0226153,-0.000265419,7.60156e-05
-0.00496875,0.0226153,7.00975e-05,7.49009e-05
-0.0049675,0.0229465,0.000405614,7.48865e-05
-0.00496625,0.0226153,7.00975e-05,7.49009e-05
-0.004965,0.0226153,-0.000265419,7.60156e-05
-0.00496375,0.0232777,-0.000265419,7.82162e-05
-0.0049625,0.0232777,-0.000265419,7.82162e-05
-0.00496125,0.0229465,7.00975e-05,7.60012e-05
-0.00496,0.0219529,-0.000265419,7.3815e-05
-0.00495875,0.0222841,-0.000265419,7.49153e-05
-0.0049575,0.0226153,-0.000600936,7.71302e-05
-0.00495625,0.0226153,7.00975e-05,7.49009e-05
-0.004955,0.0226153,-0.000265419,7.60156e-05
-0.00495375,0.0229465,-0.000265419,7.71159e-05
-0.0049525,0.0226153,-0.000600936,7.71302e-05
-0.00495125,0.0229465,-0.000265419,7.71159e-05
-0.00495,0.0229465,-0.000600936,7.82306e-05
-0.00494875,0.0222841,-0.000600936,7.60299e-05
-0.0049475,0.0226153,-0.000600936,7.71302e-05
-0.00494625,0.0226153,-0.000265419,7.60156e-05
-0.004945,0.0229465,-0.000600936,7.82306e-05
-0.00494375,0.0219529,-0.000265419,7.3815e-05
-0.0049425,0.0226153,-0.000265419,7.60156e-05
-0.00494125,0.0222841,7.00975e-05,7.38006e-05
-0.00494,0.0219529,7.00975e-05,7.27003e-05
-0.00493875,0.0219529,-0.000265419,7.3815e-05
-0.0049375,0.0222841,-0.000265419,7.49153e-05
-0.00493625,0.0226153,-0.000265419,7.60156e-05
-0.004935,0.0222841,-0.000265419,7.49153e-05
-0.00493375,0.0219529,-0.000265419,7.3815e-05
-0.0049325,0.0222841,-0.000265419,7.49153e-05
-0.00493125,0.0229465,-0.000265419,7.71159e-05
-0.00493,0.0226153,-0.000600936,7.71302e-05
-0.00492875,0.0226153,-0.000265419,7.60156e-05
-0.0049275,0.0222841,7.00975e-05,7.38006e-05
-0.00492625,0.0219529,-0.000265419,7.3815e-05
-0.004925,0.0222841,-0.000265419,7.49153e-05
-0.00492375,0.0222841,-0.000600936,7.60299e-05
-0.0049225,0.0226153,-0.000265419,7.60156e-05
-0.00492125,0.0219529,-0.000265419,7.3815e-05
-0.00492,0.0219529,-0.000265419,7.3815e-05
-0.00491875,0.0222841,-0.000265419,7.49153e-05
-0.0049175,0.0219529,-0.000600936,7.49296e-05
-0.00491625,0.0219529,-0.000600936,7.49296e-05
-0.004915,0.0219529,-0.000600936,7.49296e-05
-0.00491375,0.0219529,-0.000600936,7.49296e-05
-0.0049125,0.0219529,-0.000936452,7.60443e-05
-0.00491125,0.0219529,-0.000265419,7.3815e-05
-0.00491,0.0222841,7.00975e-05,7.38006e-05
-0.00490875,0.0216217,-0.000265419,7.27146e-05
-0.0049075,0.0212905,-0.000265419,7.16143e-05
-0.00490625,0.0219529,-0.000265419,7.3815e-05
-0.004905,0.0222841,-0.000600936,7.60299e-05
-0.00490375,0.0222841,-0.000265419,7.49153e-05
-0.0049025,0.0222841,-0.000265419,7.49153e-05
-0.00490125,0.0222841,-0.000265419,7.49153e-05
-0.0049,0.0222841,7.00975e-05,7.38006e-05
-0.00489875,0.0219529,-0.000600936,7.49296e-05
-0.0048975,0.0219529,-0.000265419,7.3815e-05
-0.00489625,0.0222841,-0.000265419,7.49153e-05
-0.004895,0.0219529,-0.000600936,7.49296e-05
-0.00489375,0.0216217,-0.000936452,7.4944e-05
-0.0048925,0.0219529,-0.000936452,7.60443e-05
-0.00489125,0.0209593,-0.000600936,7.16287e-05
-0.00489,0.0219529,-0.000265419,7.3815e-05
-0.00488875,0.0219529,-0.000600936,7.49296e-05
