#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 15:58:00.707
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.95 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -500 mV
#Channel 2: Range: 500 mV/div Offset: -500 mV
#Math 2: Function: (C1-C2)/0.00017053

Time (s),Channel 1 (V),Channel 2 (V),Math 2 (Ω)
-0.00477875,-0.0244141,-0.000600936,-139.642
-0.0047775,-0.0244141,-0.000265419,-141.61
-0.00477625,-0.0240829,7.00975e-05,-141.635
-0.004775,-0.0240829,7.00975e-05,-141.635
-0.00477375,-0.0240829,-0.000600936,-137.7
-0.0047725,-0.0244141,-0.000600936,-139.642
-0.00477125,-0.0247453,7.00975e-05,-145.519
-0.00477,-0.0237517,-0.000265419,-137.725
-0.00476875,-0.000237042,0.000405614,-3.76858
-0.0047675,0.00870517,0.000741131,46.7017
-0.00476625,0.0106923,0.000405614,60.322
-0.004765,0.0116859,-0.000265419,70.0834
-0.00476375,0.0126795,-0.000265419,75.9098
-0.0047625,0.0136731,-0.000265419,81.7362
-0.00476125,0.0136731,7.00975e-05,79.7687
-0.00476,0.0149978,7.00975e-05,87.5373
-0.00475875,0.015329,-0.000600936,93.4144
-0.0047575,0.0156602,-0.000265419,93.3891
-0.00475625,0.0159914,-0.000265419,95.3312
-0.004755,0.0166538,7.00975e-05,97.248
-0.00475375,0.0166538,-0.000265419,99.2155
-0.0047525,0.016985,7.00975e-05,99.1901
-0.00475125,0.0176474,0.000405614,101.107
-0.00475,0.0179786,7.00975e-05,105.017
-0.00474875,0.018641,-0.000265419,110.868
-0.0047475,0.0183098,-0.000265419,108.926
-0.00474625,0.0189721,-0.000600936,114.778
-0.004745,0.0189721,-0.000265419,112.81
-0.00474375,0.0193033,-0.000265419,114.753
-0.0047425,0.0199657,-0.000265419,118.637
-0.00474125,0.0202969,-0.000600936,122.546
-0.00474,0.0202969,7.00975e-05,118.612
-0.00473875,0.0202969,7.00975e-05,118.612
