#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 16:46:10.204
#Sample rate: 800Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -2 V
#Channel 2: Range: 1 V/div Offset: -2 V
#Our λ: Function: C1/5*(1.36-0.65)+0.65
#Their λ: Function: C2/5*(1.36-0.68)+0.68
#Difference λ: Function: M2 -M1 

Time (s),Channel 1 (V),Channel 2 (V),Our λ (λ),Their λ (λ),Difference λ (λ)
-4.95,2.22879,2.69133,0.966489,1.04602,0.0795319
-4.94875,2.14152,2.80194,0.954096,1.06106,0.106967
-4.9475,2.12334,2.83143,0.951514,1.06507,0.11356
-4.94625,2.1197,2.8388,0.950998,1.06608,0.11508
-4.945,2.12334,2.84249,0.951514,1.06658,0.115065
-4.94375,2.1197,2.84618,0.950998,1.06708,0.116083
-4.9425,2.1197,2.84618,0.950998,1.06708,0.116083
-4.94125,2.1197,2.84618,0.950998,1.06708,0.116083
-4.94,2.1197,2.84618,0.950998,1.06708,0.116083
-4.93875,2.11607,2.84618,0.950481,1.06708,0.116599
-4.9375,2.01061,2.84618,0.935507,1.06708,0.131574
-4.93625,2.00697,2.84618,0.93499,1.06708,0.13209
-4.935,2.01061,2.84618,0.935507,1.06708,0.131574
-4.93375,2.00697,2.84618,0.93499,1.06708,0.13209
-4.9325,2.01061,2.84618,0.935507,1.06708,0.131574
-4.93125,2.00697,2.84618,0.93499,1.06708,0.13209
-4.93,2.00697,2.84618,0.93499,1.06708,0.13209
-4.92875,2.01061,2.84618,0.935507,1.06708,0.131574
-4.9275,1.98879,2.84618,0.932408,1.06708,0.134672
-4.92625,1.93061,2.84987,0.924147,1.06758,0.143435
-4.925,1.93061,2.84618,0.924147,1.06708,0.142934
-4.92375,1.93061,2.84618,0.924147,1.06708,0.142934
-4.9225,1.93061,2.84618,0.924147,1.06708,0.142934
-4.92125,1.93061,2.84618,0.924147,1.06708,0.142934
-4.92,1.93061,2.84618,0.924147,1.06708,0.142934
-4.91875,1.93061,2.84618,0.924147,1.06708,0.142934
-4.9175,1.93061,2.84618,0.924147,1.06708,0.142934
-4.91625,1.91606,2.84618,0.922081,1.06708,0.144999
-4.915,1.90152,2.84987,0.920016,1.06758,0.147566
-4.91375,1.90152,2.84618,0.920016,1.06708,0.147065
-4.9125,1.90152,2.84618,0.920016,1.06708,0.147065
-4.91125,1.90152,2.84618,0.920016,1.06708,0.147065
-4.91,1.90516,2.84618,0.920532,1.06708,0.146548
-4.90875,1.90152,2.84618,0.920016,1.06708,0.147065
-4.9075,1.90152,2.84618,0.920016,1.06708,0.147065
